nama_paket,nama_kapal,kategori,harga,harga_numeric,durasi,kapasitas,destinasi,fasilitas,layanan,fitur,deskripsi,image_url,link,sumber,content,combined_text,processed_text
Komodo Tour PackagePapiton Duwa,PackagePapiton Duwa,OPEN_TRIP,IDR 9.000.000,9000000,3D2N,12 Guests,"komodo, padar, pink beach, labuan bajo, kelor","bar, ac, bathroom, cabin, snorkeling equipment","snorkeling, trekking, private charter, open trip","ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, bathroom, private charter, trekking, kelor, open trip",PackagePapiton Duwa adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.,https://phinisitrip.com/wp-content/uploads/2025/08/phinisitrip.webp,https://phinisitrip.com/komodo-tour-package-papiton-duwa/,phinisitrip.com,"Komodo Tour PackagePapiton Duwa OPEN_TRIP 3D2N 12 Guests ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, bathroom, private charter, trekking, kelor, open trip","PackagePapiton Duwa OPEN_TRIP IDR 9.000.000 komodo, padar, pink beach, labuan bajo, kelor ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, bathroom, private charter, trekking, kelor, open trip PackagePapiton Duwa adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.",packagepapiton duwa opentrip komodo padar pink beach labu bajo kelor ac snorkeling labu bajo bar snorkeling equipment komodo cabin padar pink beach bathroom private charter trekking kelor open trip packagepapiton duwa mewah tawar alam layar eksklusif komodo island lengkap fasilitas premium layan profesional
Komodo Tour PackageSingkolo,PackageSingkolo,OPEN_TRIP,"IDR 4,300,000",4300000,3D2N,13 Guests,"komodo, padar, pink beach, labuan bajo, kelor","sun deck, bar, ac, bathroom, cabin, snorkeling equipment","snorkeling, trekking, private charter, open trip, kayak","ac, snorkeling, kayak, labuan bajo, bar, sun deck, snorkeling equipment, cabin, komodo, padar, pink beach, bathroom, private charter, trekking, kelor, open trip",PackageSingkolo adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.,https://phinisitrip.com/wp-content/uploads/2025/08/phinisitrip.webp,https://phinisitrip.com/komodo-tour-package-singkolo/,phinisitrip.com,"Komodo Tour PackageSingkolo OPEN_TRIP 3D2N 13 Guests ac, snorkeling, kayak, labuan bajo, bar, sun deck, snorkeling equipment, cabin, komodo, padar, pink beach, bathroom, private charter, trekking, kelor, open trip","PackageSingkolo OPEN_TRIP IDR 4,300,000 komodo, padar, pink beach, labuan bajo, kelor ac, snorkeling, kayak, labuan bajo, bar, sun deck, snorkeling equipment, cabin, komodo, padar, pink beach, bathroom, private charter, trekking, kelor, open trip PackageSingkolo adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.",packagesingkolo opentrip komodo padar pink beach labu bajo kelor ac snorkeling kayak labu bajo bar sun deck snorkeling equipment cabin komodo padar pink beach bathroom private charter trekking kelor open trip packagesingkolo mewah tawar alam layar eksklusif komodo island lengkap fasilitas premium layan profesional
Komodo Tour PackageNK Jaya 1,PackageNK Jaya 1,OPEN_TRIP,"IDR 4,500,000",4500000,3D2N,14 Guests,"komodo, padar, pink beach, labuan bajo, kelor","jacuzzi, ac, bathroom, cabin, snorkeling equipment","snorkeling, trekking, private charter, open trip","ac, snorkeling, labuan bajo, snorkeling equipment, komodo, cabin, padar, pink beach, trekking, bathroom, private charter, jacuzzi, kelor, open trip",PackageNK Jaya 1 adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.,https://phinisitrip.com/wp-content/uploads/2025/08/phinisitrip.webp,https://phinisitrip.com/komodo-tour-package-nk-jaya-1/,phinisitrip.com,"Komodo Tour PackageNK Jaya 1 OPEN_TRIP 3D2N 14 Guests ac, snorkeling, labuan bajo, snorkeling equipment, komodo, cabin, padar, pink beach, trekking, bathroom, private charter, jacuzzi, kelor, open trip","PackageNK Jaya 1 OPEN_TRIP IDR 4,500,000 komodo, padar, pink beach, labuan bajo, kelor ac, snorkeling, labuan bajo, snorkeling equipment, komodo, cabin, padar, pink beach, trekking, bathroom, private charter, jacuzzi, kelor, open trip PackageNK Jaya 1 adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.",packagenk jaya opentrip komodo padar pink beach labu bajo kelor ac snorkeling labu bajo snorkeling equipment komodo cabin padar pink beach trekking bathroom private charter jacuzzi kelor open trip packagenk jaya mewah tawar alam layar eksklusif komodo island lengkap fasilitas premium layan profesional
Komodo Tour PackageElbark Cruise,PackageElbark Cruise,OPEN_TRIP,IDR 11.500.000,11500000,3D2N,21 Guests,"komodo, padar, pink beach, labuan bajo, kelor","jacuzzi, bar, ac, bathroom, cabin, snorkeling equipment, shower","snorkeling, trekking, private charter, open trip","shower, ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, trekking, bathroom, private charter, jacuzzi, kelor, open trip",PackageElbark Cruise adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.,https://phinisitrip.com/wp-content/uploads/2025/08/phinisitrip.webp,https://phinisitrip.com/komodo-tour-package-elbark-cruise/,phinisitrip.com,"Komodo Tour PackageElbark Cruise OPEN_TRIP 3D2N 21 Guests shower, ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, trekking, bathroom, private charter, jacuzzi, kelor, open trip","PackageElbark Cruise OPEN_TRIP IDR 11.500.000 komodo, padar, pink beach, labuan bajo, kelor shower, ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, trekking, bathroom, private charter, jacuzzi, kelor, open trip PackageElbark Cruise adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.",packageelbark cruise opentrip komodo padar pink beach labu bajo kelor shower ac snorkeling labu bajo bar snorkeling equipment komodo cabin padar pink beach trekking bathroom private charter jacuzzi kelor open trip packageelbark cruise mewah tawar alam layar eksklusif komodo island lengkap fasilitas premium layan profesional
Raja Ampat Liveaboards,Raja Ampat Liveaboards,OPEN_TRIP,$ 5.700,5700,5D4N,8 Guests,"komodo, padar, pink beach, labuan bajo","bar, ac, cabin, lounge, shower","snorkeling, diving, private charter, open trip, kayak","shower, ac, lounge, snorkeling, kayak, labuan bajo, bar, komodo, cabin, padar, pink beach, private charter, open trip, diving",Raja Ampat Liveaboards adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.,https://phinisitrip.com/wp-content/uploads/2025/08/phinisitrip.webp,https://phinisitrip.com/raja-ampat-liveaboards/,phinisitrip.com,"Raja Ampat Liveaboards OPEN_TRIP 5D4N 8 Guests shower, ac, lounge, snorkeling, kayak, labuan bajo, bar, komodo, cabin, padar, pink beach, private charter, open trip, diving","Raja Ampat Liveaboards OPEN_TRIP $ 5.700 komodo, padar, pink beach, labuan bajo shower, ac, lounge, snorkeling, kayak, labuan bajo, bar, komodo, cabin, padar, pink beach, private charter, open trip, diving Raja Ampat Liveaboards adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.",raja ampat liveaboards opentrip komodo padar pink beach labu bajo shower ac lounge snorkeling kayak labu bajo bar komodo cabin padar pink beach private charter open trip diving raja ampat liveaboards mewah tawar alam layar eksklusif komodo island lengkap fasilitas premium layan profesional
Komodo Tour PackageLanakila Cruise,PackageLanakila Cruise,OPEN_TRIP,"IDR 5,250,000",5250000,3D2N,16 Guests,"komodo, padar, pink beach, labuan bajo, kelor","sun deck, bar, ac, bathroom, cabin, dining area, snorkeling equipment","snorkeling, trekking, private charter, open trip","ac, dining area, snorkeling, labuan bajo, bar, sun deck, snorkeling equipment, cabin, komodo, padar, pink beach, bathroom, private charter, trekking, kelor, open trip",PackageLanakila Cruise adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.,https://phinisitrip.com/wp-content/uploads/2025/08/phinisitrip.webp,https://phinisitrip.com/komodo-tour-package-lanakila-cruise/,phinisitrip.com,"Komodo Tour PackageLanakila Cruise OPEN_TRIP 3D2N 16 Guests ac, dining area, snorkeling, labuan bajo, bar, sun deck, snorkeling equipment, cabin, komodo, padar, pink beach, bathroom, private charter, trekking, kelor, open trip","PackageLanakila Cruise OPEN_TRIP IDR 5,250,000 komodo, padar, pink beach, labuan bajo, kelor ac, dining area, snorkeling, labuan bajo, bar, sun deck, snorkeling equipment, cabin, komodo, padar, pink beach, bathroom, private charter, trekking, kelor, open trip PackageLanakila Cruise adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.",packagelanakila cruise opentrip komodo padar pink beach labu bajo kelor ac ning area snorkeling labu bajo bar sun deck snorkeling equipment cabin komodo padar pink beach bathroom private charter trekking kelor open trip packagelanakila cruise mewah tawar alam layar eksklusif komodo island lengkap fasilitas premium layan profesional
Komodo Tour PackageAmore Phinisi,PackageAmore,OPEN_TRIP,"IDR 3,750,000",3750000,3D2N,17 Guests,"komodo, padar, pink beach, labuan bajo, kelor","bar, ac, bathroom, cabin, snorkeling equipment","snorkeling, trekking, private charter, open trip","ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, bathroom, private charter, trekking, kelor, open trip",PackageAmore adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.,https://phinisitrip.com/wp-content/uploads/2025/08/phinisitrip.webp,https://phinisitrip.com/komodo-tour-package-amore-phinisi/,phinisitrip.com,"Komodo Tour PackageAmore Phinisi OPEN_TRIP 3D2N 17 Guests ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, bathroom, private charter, trekking, kelor, open trip","PackageAmore OPEN_TRIP IDR 3,750,000 komodo, padar, pink beach, labuan bajo, kelor ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, bathroom, private charter, trekking, kelor, open trip PackageAmore adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.",packageamore opentrip komodo padar pink beach labu bajo kelor ac snorkeling labu bajo bar snorkeling equipment komodo cabin padar pink beach bathroom private charter trekking kelor open trip packageamore mewah tawar alam layar eksklusif komodo island lengkap fasilitas premium layan profesional
Komodo Tour PackageSIP 1 Liveaboard,PackageSIP 1,OPEN_TRIP,"IDR 3,850,000",3850000,3D2N,12 Guests,"komodo, padar, pink beach, labuan bajo, kelor","bar, ac, bathroom, cabin, snorkeling equipment","snorkeling, trekking, private charter, open trip","ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, bathroom, private charter, trekking, kelor, open trip",PackageSIP 1 adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.,https://phinisitrip.com/wp-content/uploads/2025/08/phinisitrip.webp,https://phinisitrip.com/komodo-tour-package-sip-1-liveaboard/,phinisitrip.com,"Komodo Tour PackageSIP 1 Liveaboard OPEN_TRIP 3D2N 12 Guests ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, bathroom, private charter, trekking, kelor, open trip","PackageSIP 1 OPEN_TRIP IDR 3,850,000 komodo, padar, pink beach, labuan bajo, kelor ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, bathroom, private charter, trekking, kelor, open trip PackageSIP 1 adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.",packagesip opentrip komodo padar pink beach labu bajo kelor ac snorkeling labu bajo bar snorkeling equipment komodo cabin padar pink beach bathroom private charter trekking kelor open trip packagesip mewah tawar alam layar eksklusif komodo island lengkap fasilitas premium layan profesional
Komodo Tour PackageAndalucia Phinisi,PackageAndalucia,OPEN_TRIP,"IDR 4,800,000",4800000,3D2N,16 Guests,"komodo, padar, pink beach, labuan bajo, kelor","bar, ac, bathroom, cabin, snorkeling equipment","snorkeling, trekking, private charter, open trip","ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, bathroom, private charter, trekking, kelor, open trip",PackageAndalucia adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.,https://phinisitrip.com/wp-content/uploads/2025/08/phinisitrip.webp,https://phinisitrip.com/komodo-tour-package-andalucia-phinisi/,phinisitrip.com,"Komodo Tour PackageAndalucia Phinisi OPEN_TRIP 3D2N 16 Guests ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, bathroom, private charter, trekking, kelor, open trip","PackageAndalucia OPEN_TRIP IDR 4,800,000 komodo, padar, pink beach, labuan bajo, kelor ac, snorkeling, labuan bajo, bar, snorkeling equipment, komodo, cabin, padar, pink beach, bathroom, private charter, trekking, kelor, open trip PackageAndalucia adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.",packageandalucia opentrip komodo padar pink beach labu bajo kelor ac snorkeling labu bajo bar snorkeling equipment komodo cabin padar pink beach bathroom private charter trekking kelor open trip packageandalucia mewah tawar alam layar eksklusif komodo island lengkap fasilitas premium layan profesional
Komodo Tour PackageSundari Voyages,PackageSundari Voyages,OPEN_TRIP,IDR 7.850.000,7850000,3D2N,20 Guests,"komodo, padar, pink beach, labuan bajo, kelor","sun deck, bar, ac, bathroom, cabin, dining area, snorkeling equipment","snorkeling, diving, trekking, private charter, open trip","ac, dining area, snorkeling, labuan bajo, bar, sun deck, snorkeling equipment, cabin, komodo, padar, pink beach, bathroom, private charter, trekking, diving, kelor, open trip",PackageSundari Voyages adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.,https://phinisitrip.com/wp-content/uploads/2025/08/phinisitrip.webp,https://phinisitrip.com/komodo-tour-package-sundari-voyages/,phinisitrip.com,"Komodo Tour PackageSundari Voyages OPEN_TRIP 3D2N 20 Guests ac, dining area, snorkeling, labuan bajo, bar, sun deck, snorkeling equipment, cabin, komodo, padar, pink beach, bathroom, private charter, trekking, diving, kelor, open trip","PackageSundari Voyages OPEN_TRIP IDR 7.850.000 komodo, padar, pink beach, labuan bajo, kelor ac, dining area, snorkeling, labuan bajo, bar, sun deck, snorkeling equipment, cabin, komodo, padar, pink beach, bathroom, private charter, trekking, diving, kelor, open trip PackageSundari Voyages adalah kapal phinisi mewah yang menawarkan pengalaman berlayar eksklusif di Komodo Island. Dilengkapi fasilitas premium dan pelayanan profesional.",packagesundari voyages opentrip komodo padar pink beach labu bajo kelor ac ning area snorkeling labu bajo bar sun deck snorkeling equipment cabin komodo padar pink beach bathroom private charter trekking diving kelor open trip packagesundari voyages mewah tawar alam layar eksklusif komodo island lengkap fasilitas premium layan profesional
